Order,Title,New_Title,Definition
1062,Middle of the road,Middle-of-the-road,1. Describing an option that is neither the most nor the least expensive. 
1063,stick up your ass,Stick up (one's) ass, A rigid and uptight demeanor. 
1064,up in the air,Be up in the air,To be uncertain or subject to change. 
1065,spit on your grave,,
1066,dont piss into the wind,,
1067,go to bat,Go to bat for (one),To act in support of one. 
1068,cooking something up,Cook up,"A noun or pronoun can be used between ""cook"" and ""up."""
1069,thumb up your ass,,
1070,shit dont stink,,
1071,cherry picking,Cherry-pick,"1. To choose something very carefully to ensure that the best option is chosen, perhaps through means that provide one an unfair advantage or from a selection that others do not have ready access to. "
1072,hot to trot,Hot to trot,1. Eager or impatient to do something. 
1073,a wake up call,,
1074,cutting your teeth on something,Cut (one's) teeth on (something),"To gain experience with something, especially at a young age (when one's teeth would be coming in). "
1075,dont go chasing waterfalls,,
